Primary,Secondary,Tertiary
Anger,Enraged,Hateful
Anger,Enraged,Hostile
Anger,Exasperated,Agitated
Anger,Exasperated,Frustrated
Anger,Irritable,Annoyed
Anger,Irritable,Aggravated
Anger,Jealous,Resentful
Anger,Jealous,Envious
Anger,Disgusted,Contemptuous
Anger,Disgusted,Revolted
Sadness,Hurt,Agonized
Sadness,Hurt,Disturbed
Sadness,Unhappy,Miserable
Sadness,Unhappy,Disheartened
Sadness,Disappointed,Dismayed
Sadness,Disappointed,Displeased
Sadness,Shameful,Regretful
Sadness,Shameful,Guilty
Sadness,Lonely,Isolated
Sadness,Lonely,Neglected
Sadness,Gloomy,Hopeless
Sadness,Gloomy,Depressed
Surprise,Stunned,Shocked
Surprise,Stunned,Bewildered
Surprise,Confused,Disillusioned
Surprise,Confused,Perplexed
Surprise,Amazed,Astonished
Surprise,Amazed,Awestruck
Surprise,Overcome,Speechless
Surprise,Overcome,Astounded
Surprise,Moved,Stimulated
Surprise,Moved,Touched
Joy,Peaceful,Tranquil
Joy,Peaceful,Serene
Joy,Content,Satisfied
Joy,Content,Pleased
Joy,Happy,Jovial
Joy,Happy,Delighted
Joy,Cheerful,Amused
Joy,Cheerful,Playful
Joy,Proud,Triumphant
Joy,Proud,Illustrious
Joy,Optimistic,Eager
Joy,Optimistic,Hopeful
Joy,Excited,Enthusiastic
Joy,Excited,Zealous
Joy,Euphoric,Elated
Joy,Euphoric,Jubilant
Love,Enchanted,Enthralled
Love,Enchanted,Rapturous
Love,Romantic,Passionate
Love,Romantic,Enamored
Love,Affectionate,Warmhearted
Love,Affectionate,Compassionate
Love,Sentimental,Tender
Love,Sentimental,Nostalgic
Love,Grateful,Appreciative
Love,Grateful,Thankful
Fear,Scared,Frightened
Fear,Scared,Helpless
Fear,Terrified,Panicked
Fear,Terrified,Hysterical
Fear,Insecure,Inferior
Fear,Insecure,Inadequate
Fear,Nervous,Worried
Fear,Nervous,Anxious
Fear,Horrified,Mortified
Fear,Horrified,Dreadful
